lookup_name,lookup_name_norm,drug_category,lookup_type,match_pattern,source,nomor_registrasi,zat_aktif
GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,product,GLIMEPIRIDE,curated_rule,GKL0205031510A1 | GKL0508512710A1 | GKL0508512710B1 | GKL0508512710C1 | GKL0608512710D1 | GKL0802340210A1 | GKL0802340210B1 | GKL0802340210C1 | GKL0802340210D1 | GKL1208018110A1 | GKL1208018110B1 | GKL1208018110C1 | GKL1208018110D1 | GKL1212425810A1 | GKL1212425810B1 | GKL1212425810C1 | GKL1240801510A1 | GKL1240801510B1 | GKL1413319304A1 | GKL1413319304B1 | GKL1440307404B1 | GKL1919933810A1 | GKL2507927404A1 | GKL2507927404B1 | GKL2543012010A1 | GKL2543012010B1 | GKL2543012010C1 | GKL2543012010D1 | GKL2544412010A1,GLIMEPIRIDE
GLIMEPIX - 2,GLIMEPIX 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL2015632010A1,GLIMEPIRIDE
GLIMEPIX - 3,GLIMEPIX 3,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL2015632010B1,GLIMEPIRIDE
GLIMETIC 2,GLIMETIC 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0908515810A1,GLIMEPIRIDE
GLINOV,GLINOV,antikonvulsan,product,PREGABALIN,curated_rule,DKL1433532701A1 | DKL2633532701B1,PREGABALIN
GLIPIZIDE,GLIPIZIDE,antidiabetes,active_alias,GLIPIZIDE,curated_rule,,GLIPIZIDE
GLIPIZIDE,GLIPIZIDE,antidiabetes,product,GLIPIZIDE,curated_rule,LKE14055071,GLIPIZIDE
GLIPTIKAF,GLIPTIKAF,antidiabetes,product,SITAGLIPTIN,curated_rule,DKL2344407617A1 | DKL2344407617B1,SITAGLIPTIN PHOSPHATE MONOHYDRATE
GLUBOSE,GLUBOSE,antidiabetes,product,ACARBOSE,curated_rule,DKL1134609210A1 | DKL1134609210B1,ACARBOSE
GLUCATRON,GLUCATRON,antidiabetes,product,GLICLAZIDE,curated_rule,DKL2131548814A1,GLICLAZIDE
GLUCOBAY 50,GLUCOBAY 50,antidiabetes,product,ACARBOSE,curated_rule,DKL9302002410A1,ACARBOSE
GLUCOPHAGE,GLUCOPHAGE,antidiabetes,product,METFORMIN,curated_rule,DKL9815807217A1 | DKL9815807217B1,METFORMIN HYDROCHLORIDE
GLUCOPHAGE XR,GLUCOPHAGE XR,antidiabetes,product,METFORMIN,curated_rule,DKI1401600214B1 | DKI1501600214C1 | DKL1915809314A1 | DKL1915809314B1 | DKL2215809314C1,METFORMIN HYDROCHLORIDE
GLUCORYL,GLUCORYL,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0802340110A1 | DKL0802340110B1 | DKL0802340110C1 | DKL0802340110D1,GLIMEPIRIDE
GLUCOTIKA,GLUCOTIKA,antidiabetes,product,METFORMIN,curated_rule,DKL9409308217A1 | DKL9409308217B1,METFORMIN HYDROCHLORIDE
GLUCOTROL XL,GLUCOTROL XL,antidiabetes,product,GLIPIZIDE,curated_rule,DKI0990401014A1,GLIPIZIDE
GLUCOVANCE,GLUCOVANCE,antidiabetes,product,GLIBENCLAMIDE | METFORMIN,curated_rule,DKL1715809217B1 | DKL1715809217C1,METFORMIN HYDROCHLORIDE. GLIBENCLAMIDE
GLUCOVEL 2,GLUCOVEL 2,antidiabetes,product,GLIMEPIRIDE | METFORMIN,curated_rule,DKL1715719209B1,GLIMEPIRIDE. METFORMIN HYDROCHLORIDE
GLUDEPATIC 500,GLUDEPATIC 500,antidiabetes,product,METFORMIN,curated_rule,DKL2632724417A1 | DKL9631512617A1,METFORMIN HYDROCHLORIDE
GLUDITIN,GLUDITIN,antidiabetes,product,SITAGLIPTIN,curated_rule,DKL2513031017A1,SITAGLIPTIN PHOSPHATE MONOHYDRATE
GLUFOR 500,GLUFOR 500,antidiabetes,product,METFORMIN,curated_rule,DKL9621010309A1,METFORMIN HYDROCHLORIDE
GLUFOR XR,GLUFOR XR,antidiabetes,product,METFORMIN,curated_rule,DKL2021027706A1,METFORMIN HYDROCHLORIDE
GLUKOLOS,GLUKOLOS,antidiabetes,product,GLICLAZIDE,curated_rule,DKL8722208010A1,GLICLAZIDE
GLUMIN XR,GLUMIN XR,antidiabetes,product,METFORMIN,curated_rule,DKL1105045706A1,METFORMIN HYDROCHLORIDE
GLUSITIN 100,GLUSITIN 100,antidiabetes,product,SITAGLIPTIN,curated_rule,DKL2518835817B1,SITAGLIPTIN PHOSPHATE
GLUSITIN 50,GLUSITIN 50,antidiabetes,product,SITAGLIPTIN,curated_rule,DKL2518835817A1,SITAGLIPTIN PHOSPHATE
GLUTAZON,GLUTAZON,antidiabetes,product,PIOGLITAZONE,curated_rule,DKL2213029310A1,PIOGLITAZONE HYDROCHLORIDE
GLUTIN,GLUTIN,antidiabetes,product,SITAGLIPTIN,curated_rule,DKL2113322917A1,SITAGLIPTIN PHOSPHATE MONOHYDRATE
GLUVAS 1,GLUVAS 1,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0305033910A1,GLIMEPIRIDE
GLUVAS M,GLUVAS M,antidiabetes,product,GLIMEPIRIDE | METFORMIN,curated_rule,DKL2005063417A1,GLIMEPIRIDE. KOMBINASI-METFORMIN HCL GRANULES DC 95
