food_id,nutrition_key,food_name,source,status
236,Daun bebuas segar,Daun bebuas segar,nutrition1_indonesia,AVAILABLE
237,Daun belem segar,Daun belem segar,nutrition1_indonesia,AVAILABLE
238,Daun Beluntas,Daun Beluntas,nutrition1_indonesia,AVAILABLE
239,Daun Cincau,Daun Cincau,nutrition1_indonesia,AVAILABLE
240,Daun Gandaria,Daun Gandaria,nutrition1_indonesia,AVAILABLE
241,Daun gedi besar segar,Daun gedi besar segar,nutrition1_indonesia,AVAILABLE
242,Daun gelang segar,Daun gelang segar,nutrition1_indonesia,AVAILABLE
243,Daun gunda bali segar,Daun gunda bali segar,nutrition1_indonesia,AVAILABLE
244,Daun gunda serang segar,Daun gunda serang segar,nutrition1_indonesia,AVAILABLE
245,Daun Jambu Mete muda,Daun Jambu Mete muda,nutrition1_indonesia,AVAILABLE
246,Daun jampang segar,Daun jampang segar,nutrition1_indonesia,AVAILABLE
247,Daun jawaw seluang segar,Daun jawaw seluang segar,nutrition1_indonesia,AVAILABLE
248,Daun jonghe segar,Daun jonghe segar,nutrition1_indonesia,AVAILABLE
249,Daun kacang ma segar,Daun kacang ma segar,nutrition1_indonesia,AVAILABLE
250,Daun Kacang Panjang,Daun Kacang Panjang,nutrition1_indonesia,AVAILABLE
251,Daun Kacang Panjang kukus,Daun Kacang Panjang kukus,nutrition1_indonesia,AVAILABLE
252,Daun kacang panjang segar,Daun kacang panjang segar,nutrition1_indonesia,AVAILABLE
253,Daun kasbi/singkong karet segar,Daun kasbi/singkong karet segar,nutrition1_indonesia,AVAILABLE
254,Daun Katuk,Daun Katuk,nutrition1_indonesia,AVAILABLE
255,Daun katuk rebus,Daun katuk rebus,nutrition1_indonesia,AVAILABLE
256,Daun katuk segar,Daun katuk segar,nutrition1_indonesia,AVAILABLE
257,Daun Kecipir,Daun Kecipir,nutrition1_indonesia,AVAILABLE
258,Daun Kedondong,Daun Kedondong,nutrition1_indonesia,AVAILABLE
259,Daun Kelor,Daun Kelor,nutrition1_indonesia,AVAILABLE
260,Daun Kelor rebus,Daun Kelor rebus,nutrition1_indonesia,AVAILABLE
261,Daun Kemangi,Daun Kemangi,nutrition1_indonesia,AVAILABLE
262,Daun kenikir segar,Daun kenikir segar,nutrition1_indonesia,AVAILABLE
263,Daun kesum segar,Daun kesum segar,nutrition1_indonesia,AVAILABLE
264,Daun kol sawi segar,Daun kol sawi segar,nutrition1_indonesia,AVAILABLE
