Kelas_YOLO,Bahan_Penyusun
rawon-surabaya,"daun jeruk, serai, bawang putih, daun bawang, daun salam, jahe, kunyit, lengkuas, kemiri, bawang merah, ketumbar bubuk, kluwek, ketumbar, daging sapi, bawang goreng"
rujak-cingur,"bawang putih, cabai rawit, gula merah, cingur sapi, timun, tempe, kangkung, kacang tanah goreng, kacang tanah, tempe goreng, kangkung rebus, petis, tahu putih, tauge rebus, terasi"
sate-ayam-madura,"kecap manis, bawang putih, bawang merah, kemiri, kacang tanah, lada bubuk, kecap, gula merah, kacang tanah goreng, daun jeruk, bawang goreng, dada ayam fillet, cabai merah keriting, cabai merah, ketumbar bubuk"
sate-lilit,"daun jeruk, bawang putih, bawang merah, kelapa, jahe, kemiri, kunyit, telur, santan, lada, cabai merah, serai, kencur, kunyit bubuk, lengkuas"
sate-maranggi,"kecap manis, bawang merah, bawang putih, gula merah, lada bubuk, jeruk limau, cabai rawit, lengkuas, ketumbar sangrai, jahe, jeruk nipis, sambal tomat, sambal kecap, tomat ukuran besar, ayam fillet"
soerabi,"santan, gula pasir, tepung beras, daun pandan, ragi, telur, tepung tapioka, baking powder, tepung terigu, keju, tepung maizena, nangka, gula merah, vanili, serabi"
soto-banjar,"bawang putih, bawang merah, kapulaga, cengkeh, seledri, kayu manis, ayam, bunga lawang, jahe, daun bawang, kemiri, lada bubuk, soun, pala bubuk, telur rebus"
tahu-telur,"telur, bawang putih, daun salam, bawang merah, lada bubuk, kecap manis, tahu putih, daun bawang, seasoning, ketumbar bubuk, tahu"
ayam-goreng,"bawang putih, tepung maizena, lada bubuk, penyedap rasa, tepung terigu, lada, tomat, cabai, kecap asin, baking powder, kaldu jamur, ketumbar, bawang putih bubuk, asam jawa, gula jawa"
capcay,"saus tiram, bawang putih, wortel, lada bubuk, sawi putih, sawi hijau, kaldu jamur, tepung maizena, ayam fillet, daun bawang, bawang bombay, bakso sapi, kol, minyak wijen, sosis"
ikan-goreng,"tepung terigu, bawang putih, tepung maizena, bawang merah, bawang bombay, baking powder, kaldu jamur, cuka, gula pasir, jahe, tomat"
kentang-goreng,"kentang, lada, bawang putih, tepung maizena, tepung bumbu serbaguna, lada bubuk, kentang ukuran sedang, bawang putih bubuk, kentang agak besar"
nasi-putih,"bawang putih, kangkung, bawang merah, tempe, nasi putih, cabai rawit, kecap manis, tomat, wortel"
nugget,"telur, tepung terigu, lada, tepung roti, tepung tapioka, bawang putih, kaldu jamur, lada bubuk, bawang goreng, bawang bombay, bawang merah, wortel, tepung panir, minyak wijen, pala bubuk"
pempek,"bawang putih, tepung tapioka, telur, gula pasir, tepung terigu, bawang merah, kaldu ayam bubuk, gula merah, kaldu jamur, ebi, santan, lada bubuk"
sate-umum,"kecap manis, bawang putih, bawang merah, lada bubuk, jahe, ketumbar, kemiri, gula merah, ayam fillet, jeruk nipis, gula pasir, ketumbar bubuk, dada ayam, timun, wortel"
spaghetti,"bawang putih, spaghetti, bawang bombay, tomat, keju cheddar, saus tomat, tepung maizena, bawang merah, bakso sapi, keju, lada bubuk, lada hitam, oregano kering, minyak zaitun, lada"
steak,"bawang putih, minyak zaitun, lada, lada bubuk, kecap manis, daging sapi, kecap asin, butter"
tahu-goreng,"bawang putih, tahu, tepung terigu, lada bubuk, bawang bombay, tahu putih, bawang merah, kecap manis, lengkuas, daun bawang"
telur-goreng,"bawang putih, telur, margarin, bawang merah, tepung bumbu serbaguna, gula pasir, telur puyuh, saus tiram, lada, lada hitam bubuk, cabai rawit, saus sambal, bawang bombai, tahu kuning, kecap inggris"
telur-rebus,"telur, bawang putih, telur rebus, bawang merah, cabai rawit, tepung terigu, lengkuas, bawang bombay, margarin, saus tiram, cabai keriting, saus sambal, gula merah, tomat"
tempe-goreng,"tempe, bawang putih, tepung terigu, margarin, ketumbar bubuk, bawang merah, telur, daun bawang, kunyit bubuk, ketumbar, tepung beras"
terong-balado,"bawang merah, bawang putih, daun salam, kemiri, tomat, cabai rawit, gula merah, daun jeruk, terong, cabai merah keriting, terong ungu, cabai merah besar, cabai keriting, gula pasir"
tumis-kangkung,"bawang putih, bawang merah, saus tiram, kangkung, gula pasir, cabai rawit, cabai merah, kecap manis, penyedap rasa, terasi, tomat"
apel,"minyak zaitun, madu, bawang bombay, cuka apel, apel, mayonnaise, mustard, wortel, keju cheddar, minyak salad, telur rebus, salad dressing, susu kental manis, timun"
biskuit-choco-chips,"tepung terigu, telur, baking soda, choco chips, gula halus, baking powder, gula aren, margarin, tepung maizena, butter, mentega, vanilla"
burger,"tepung terigu, telur, margarin, mayonnaise, ragi, lada bubuk, bawang bombay, tomat, kecap inggris, daging giling, daun selada, ground flaxseed, sourdough discard, paprika bubuk, wheat bran"
