Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,reason
DKI2262300168A1,ACTACORT,ACTACORT,BUDESONIDE,BUDESONIDE,no_curated_drug_category_match
DKI2262300168B1,ACTACORT,ACTACORT,BUDESONIDE,BUDESONIDE,no_curated_drug_category_match
DKI2255800217A1,ACTAGEF,ACTAGEF,GEFITINIB,GEFITINIB,no_curated_drug_category_match
DBL2232210210A1,ACTAL,ACTAL,DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,DRIED ALUMINUM HYDROXIDE SORBITOL BLEND,no_curated_drug_category_match
DBL2232210310A1,ACTAL PLUS,ACTAL PLUS,SIMETHICONE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND. MAGNESIUM HYDROXIDE,SIMETHICONE KOMBINASI DRIED ALUMINUM HYDROXIDE SORBITOL BLEND MAGNESIUM HYDROXIDE,no_curated_drug_category_match
DBL2232210310A1,ACTAL PLUS,ACTAL PLUS,SIMETHICONE. MAGNESIUM HYDROXIDE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,SIMETHICONE MAGNESIUM HYDROXIDE KOMBINASI DRIED ALUMINUM HYDROXIDE SORBITOL BLEND,no_curated_drug_category_match
DKI2584301980A1,ACTAPAX-NAB,ACTAPAX NAB,PACLITAXEL,PACLITAXEL,no_curated_drug_category_match
DKI2231701849A1,ACTATECAN,ACTATECAN,IRINOTECAN HYDROCHLORIDE TRIHYDRATE,IRINOTECAN HYDROCHLORIDE TRIHYDRATE,no_curated_drug_category_match
DKI2157509549A1,ACTEMRA,ACTEMRA,TOCILIZUMAB,TOCILIZUMAB,no_curated_drug_category_match
DKI2157509643A1,ACTEMRA,ACTEMRA,TOCILIZUMAB,TOCILIZUMAB,no_curated_drug_category_match
DKI2157511049A1,ACTEMRA,ACTEMRA,TOCILIZUMAB,TOCILIZUMAB,no_curated_drug_category_match
DTL1624504037A1,ACTIFED,ACTIFED,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,no_curated_drug_category_match
