Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,drug_category,match_pattern,match_type,source
LKE17045027,FUNXION,FUNXION,PREGABALIN,PREGABALIN,antikonvulsan,PREGABALIN,token_substring,curated_rule
DKL1740810101A1,GABAFION,GABAFION,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1333528001A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1618828001A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1702354801A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1733315101A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1740310001A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1740810001A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1905518901A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1905518901B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1919934101A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL1943003601A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2012431301A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2022728001A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2022728001B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2033315101B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2043006801A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2112431301B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2202508001A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2205048101B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2208520901A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2208520901B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2240703201A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2240703201B1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
GKL2443504401A1,GABAPENTIN,GABAPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
