komposisi_norm,jumlah_merek,jumlah_registrasi,daftar_merek,daftar_nomor_registrasi,komposisi
OXCARBAZEPINE,8,8,BARZEPIN 300 | BARZEPIN 600 | OXCARBAZEPINE | PROLEPSI 300 | PROLEPSI 600 | TRILEPTAL | TRILEPTAL 300 | TRILEPTAL 600,DKI0167502717A1 | DKI0167502717B1 | DKI1664100633A1 | DKL0433306009A1 | DKL0533514217A1 | DKL0533514309A1 | DKL1933306009B1 | GKL1833315809A1,OXCARBAZEPINE
PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE,8,8,DECOLGEN | FLUGO | MIXAGRIP FLU | MOLEXFLU | OMECOLD | TRANAFLU | TRANSIFAR | ULTRAFLU,DTL1404522410A1 | DTL7808102404A1 | DTL8710802004A1 | DTL9416906110A1 | DTL9531900510A1 | DTL9609206304A1 | DTL9930906937A1 | LKE15044006,PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE
DEFERASIROX,7,22,DEFERASIROX | DEXTRON | ENFEROX 250 | ENFEROX 500 | EXJADE | KALSIROX | SIROHET,DKI0667505281A1 | DKI2160700181A1 | DKI2160700181B1 | DKI2257000217B1 | DKI2257000217C1 | DKI2457000381A1 | DKI2457000381B1 | DKL1904430481A1 | DKL1904430481B1 | DKL1933547781A1 | DKL2033547781B1 | DKL2543505717A1 | DKL2543505717B1 | DKL2543505717C1 | GKL1904430381A1 | GKL1904430381B1 | GKL2033548281A1 | GKL2543505817A1 | GKL2543505817B1 | GKL2543505817C1 | GKL2644301917A1 | GKL2644301917B1,DEFERASIROX
LEVETIRACETAM,7,17,EPILEV XR | ETERLOX | KEPPRA | LEPSY | LETHIRA | LEVETIRACETAM | LEVEXA,DKI1083901017A1 | DKI2354000743A1 | DKL1221641417B1 | DKL1415716009A1 | DKL2032720817A1 | DKL2043501617A1 | DKL2043501617B1 | DKL2133553206A1 | DKL2632720817B1 | GKL1905519017A1 | GKL1905519017B1 | GKL2031546117A1 | GKL2031546117B1 | GKL2043501517A1 | GKL2043501517B1 | GKL2632724717A1 | GKL2632724717B1,LEVETIRACETAM
HALOPERIDOL,7,15,"DORES 1,5 | DORES 5 | GOVOTIL - 2 | HALOPERIDOL | LODOMER | LODOMER 2 | LODOMER 5",DKL0033301617B1 | DKL0233304143A1 | DKL0333305436A1 | DKL9408002010A1 | DKL9921014210B1 | DKL9921014304A1 | DKL9933301617A1 | GKL1333311217A1 | GKL1733313343A1 | GKL1907923510A1 | GKL9817105710A1 | GKL9817105710B1 | GKL9817105710C1 | GKL9832707010B1 | GKL9832707010C1,HALOPERIDOL
TICAGRELOR,7,15,BRICLOT | BRILINTA | CLOTAIRE | RILACON | TICAGE | TICAGRELOR | TICAVELL,DKI1635301117A1 | DKI1751303217A1 | DKI2351304481A1 | DKL2005063817A1 | DKL2031546617A1 | DKL2131546617B1 | DKL2311647917A1 | DKL2515722817A1 | DKL2533559817A1 | GKL2005063917A2 | GKL2031546517A1 | GKL2131546517B1 | GKL2308521317A1 | GKL2533560117A1 | GKL2544410717A1,TICAGRELOR
LISINOPRIL DIHYDRATE,7,14,INHITRIL | INTERPRIL 10 | INTERPRIL 5 | LISINOPRIL DIHYDRATE | NOPRIL | TENSINOP 10 | TENSINOP 5,DKL2544410810A1 | DKL2544410810B1 | DKL9222212210A1 | DKL9222212210B1 | DKL9317608310A1 | DKL9317608310B1 | DKL9802325410A1 | DKL9802325410B1 | GKL1233526410A1 | GKL1233526410B1 | GKL2002363610A1 | GKL2002363610B1 | GKL2144403210A1 | GKL2144403210B1,LISINOPRIL DIHYDRATE
BROMHEXINE HYDROCHLORIDE | GUAIFENESIN,7,13,BISOLVON EXTRA | BROMIFAR PLUS | GRAXINE | OSKADRYL BATUK BERDAHAK | REXCOF PLUS | SILADEX MUCOLYTIC & EXPECTORANT FORTE | WOODS PEPPERMINT EXPECTORANT,DKL0111633137A1 | DKL1721207437A1 | DKL2613032037A1 | DTL0111633137A1 | DTL0331108110A1 | DTL1109221510A1 | DTL1209222537A1 | DTL1521645337A1 | DTL1721207437A1 | DTL1930709510A1 | DTL1930709637A1 | DTL1930709637A2 | DTL2530710610A1,BROMHEXINE HYDROCHLORIDE | GUAIFENESIN
LIDOCAINE HYDROCHLORIDE MONOHYDRATE,7,13,KIFACAINE | LIDOCAINE HCL MONOHYDRATE | LIDOCAINE HYDROCHLORIDE MONOHYDRATE | LIDOKSI | LIDOX 2% | LINESTI | XYLOCAINE,DKI1851303543A1 | DKL1302347643A1 | DKL1912429843A1 | DKL2213028943A1 | DKL2633220343A1 | GKL1340306143A1 | GKL1910402443A1 | GKL1912429943A1 | GKL1915630643A1 | GKL1944200843A1 | GKL2633220443A1 | GKL8102300243A1 | GKL8119900243A1,LIDOCAINE HYDROCHLORIDE MONOHYDRATE
INSULIN GLARGINE,7,12,CAPRISULIN LOG-G | EZELIN | GLARITUS | INSULIN GLARGINE | LANTUS | LANTUS XR | SANSULIN LOG-G,DKI0259201443A5 | DKI1636800143A1 | DKI1636800143A2 | DKI1759201443B1 | DKI2158300143A1 | DKL1722254443A1 | DKL1722254443A2 | DKL2132408243A1 | DKL2211647543A1 | DKL2211647543A2 | GKL2311648043A1 | GKL2311648043A2,INSULIN GLARGINE
VONOPRAZAN FUMARATE,7,12,VONOGERD | VONOPRAZAN FUMARATE | VONOZAN 10 | VONOZAN 20 | VONTERO | VOXIPRO 10 | VOXIPRO 20,DKL2517635009A1 | DKL2517635009B1 | DKL2531552217A1 | DKL2531552217B1 | DKL2605069817A1 | DKL2605069817B1 | DKL2643506117A1 | DKL2643506117B1 | GKL2531552117A1 | GKL2531552117B1 | GKL2643506217A1 | GKL2643506217B1,VONOPRAZAN FUMARATE
IVABRADINE HYDROCHLORIDE,7,10,"CORALAN | FARBRADINE 5 | FARBRADINE 7,5 | FARCOR 5 | FARCOR 7,5 | IVABRADINE HYDROCHLORIDE | IVAFAST",DKI1668601317A1 | DKI1668601317B1 | DKI2043400817A1 | DKI2043400817B1 | DKI2566400217A1 | DKI2566400217B1 | DKL2631553617A1 | DKL2631553617B1 | GKL2631553517A1 | GKL2631553517B1,IVABRADINE HYDROCHLORIDE
LENALIDOMIDE,7,10,"LINADEX | VILENA 10 | VILENA 15 | VILENA 2,5 | VILENA 20 | VILENA 25 | VILENA 7,5",DKI2043400701A1 | DKI2043400701C1 | DKI2043400701D1 | DKI2043400701E1 | DKI2043400701F1 | DKI2043400701G1 | DKI2118604001A1 | DKI2118604001B1 | DKI2118604001C1 | DKI2118604001D1,LENALIDOMIDE
BETAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,7,9,CELESTAMINE | COLERGIS | CORTAMINE | DUROCORT | HUFABETHAMIN | MECLOVEL | MEXON BETA,DKL0233505710A2 | DKL0607809037A1 | DKL0817623310A1 | DKL1940405410A1 | DKL2123415937A1 | DKL9106604510A1 | DKL9905029237A2 | LKE14066144 | LKE14066145,BETAMETHASONE. DEXCHLORPHENIRAMINE MALEATE
BEVACIZUMAB,7,9,ABEVMY 400 | AVAMAB | AVASTIN | BEVAAS 100 | BEVABELL | BEVAGEN | MVASI,DKI1157506943A1 | DKI2141501049A1 | DKI2157508643A1 | DKI2158000249A1 | DKI2161300149A1 | DKI2230700549A1 | DKI2263800149A1 | DKI2570200149A1 | DKL2511648449A1,BEVACIZUMAB
DORIPENEM MONOHYDRATE,7,9,CILANEM | DARYAVEN | DORBAZ | DORIPENEM MONOHYDRATE | DRM | NOVEDOR | TIRONEM,DKL1404521580A1 | DKL1505050280A1 | DKL1534611880A1 | DKL1733538380A1 | DKL1822255080A1 | DKL1832406980A1 | GKL1404521680A1 | GKL1631537780A1 | GKL1733538480A1,DORIPENEM MONOHYDRATE
DOXYCYCLINE HYCLATE,7,9,DOHIXAT | DOXICOR 100 | DOXICOR 50 | DOXYCYCLINE HYCLATE | INTERDOXIN 100 | INTERDOXIN 50 | SICLIDON,DKL0535801401A1 | DKL0535801401B1 | DKL7817608801A1 | DKL7817608801B1 | DKL8322203301A1 | DKL9709207601A1 | GKL1712427301A1 | GKL9832703201A1 | LKE21209014,DOXYCYCLINE HYCLATE
ISOXSUPRINE HYDROCHLORIDE,7,9,DUVADILAN | HYSTOLAN | ISOXSUPRINE HYDROCHLORIDE | PROTERINE | SIMDUVA | TONOTAN | UTERLAX,DKL0833519743A1 | DKL1215621710A1 | DKL1606418210A1 | DKL1928207710A1 | DKL8112400710A1 | DKL8112421343A1 | DKL9905028810A1 | GKL2033549110A1 | GKL2233554143A1,ISOXSUPRINE HYDROCHLORIDE
MAGNESIUM SULFATE HEPTAHYDRATE,7,9,INFUSAN MGSO4 20% | INFUSAN MGSO4 40% | MAGNESIUM SULFATE HEPTAHYDRATE | MINOXID 20 | MINOXID 40 | OTSU - MGSO4 20 | OTSU - MGSO4 40,DKL0318700643A1 | DKL0318700643B1 | DKL1822254849A1 | DKL1822254849B1 | DKL2033550343A1 | DKL2033550343B1 | GKL2218709443A1 | GKL2218709443B1 | GKL2441701343A1,MAGNESIUM SULFATE HEPTAHYDRATE
